amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
52573.5,open-space-and-leisure,16/00307-da,16/00307-con1,,2020-12-18,2016-10-07,,
1.25E+3,other,17/00612-da,17/00612-con1,,2020-12-18,2018-03-26,,
181,other,17/00612-da,17/00612-con2,,2020-12-18,2018-03-26,,
1.25E+3,other,15/00525-da,15/00525-con1,,2020-12-18,2018-04-25,,
181,other,15/00525-da,15/00525-con2,,2020-12-18,2018-04-25,,
1.25E+3,other,18/00302-con1,18/00302-con1,,2020-12-18,2018-06-28,,
7.5E+3,other,16/00508-da,16/00508-con1,,2020-12-18,2016-08-15,,
1.25E+3,other,15/00676-da,15/00676-con1,,2020-12-18,2016-09-27,,
1.25E+3,other,17/00891-da,17/00891-con1,,2020-12-18,2018-10-08,,
749,other,17/00891-da,17/00891-con2,,2020-12-18,2018-10-08,,
1.25E+3,other,17/00686-da,17/00686-con1,,2020-12-18,2018-08-09,,
637,other,17/00686-da,17/00686-con2,,2020-12-18,2018-08-09,,
1.25E+3,other,18/00579-da,18/00579-con1,,2020-12-18,2018-11-26,,
637,other,18/00579-da,18/00579-con2,,2020-12-18,2018-11-26,,
6.25E+3,other,18/00985-da,18/00985-con1,,2020-12-18,2019-02-28,,
2435,other,18/00985-da,18/00985-con2,,2020-12-18,2019-02-28,,
2.5E+3,other,18/00493-da,18/00493-con1,,2020-12-18,2018-09-20,,
3774,other,18/00493-da,18/00493-con2,,2020-12-18,2018-09-20,,
1.25E+3,other,18/00736-da,18/00736-con1,,2020-12-18,2019-03-14,,
749,other,18/00736-da,18/00736-con2,,2020-12-18,2019-03-14,,
3.75E+3,other,18/00569-da,18/00569-con1,,2020-12-18,2019-03-07,,
3.75E+3,other,19/00279-da,19/00279-con1,,2020-12-18,2019-05-17,,
1959,other,19/00279-da,19/00279-con2,,2020-12-18,2019-05-17,,
1.25E+3,other,18/00794-da,18/00794-con1,,2020-12-18,2019-06-30,,
1.25E+3,other,19/00228-da,19/00228-con1,,2020-12-18,2019-09-11,,
176,other,16/00647-da,16/00647-con1,,2020-12-18,2019-03-14,,
1.25E+3,other,19/00063-da,19/00063-con1,,2020-12-18,2019-04-09,,
768,other,18/00554-da,18/00554-con1,,2020-12-18,2019-11-14,,
1.25E+3,other,18/00277-da,18/00277-con1,,2020-12-18,2018-03-26,,
1.25E+3,other,15/00135-da,15/00135-con1,,2020-12-18,2016-01-20,,
3505,open-space-and-leisure,15/00135-da,15/00135-con2,,2020-12-18,2016-01-20,,
5457,transport-and-travel,15/00135-da,15/00135-con3,,2020-12-18,2016-01-20,,
4346,other,18/00946-da,18/00946-con1,,2020-12-18,2019-05-13,,
69099,affordable-housing,18/00946-da,18/00946-con2,,2020-12-18,2019-05-13,,
22199,open-space-and-leisure,18/00946-da,18/00946-con3,,2020-12-18,2019-05-13,,
28195,transport-and-travel,18/00946-da,18/00946-con4,,2020-12-18,2019-05-13,,
3.75E+3,other,19/00038-da,19/00038-con1,,2020-12-18,2019-11-18,,
1038,other,19/00038-da,19/00038-con2,,2020-12-18,2019-11-18,,
18125,other,18/00122-da,18/00122-con1,,2020-12-18,2018-10-25,,
1.25E+3,other,19/00547-da,19/00547-con1,,2020-12-18,2020-01-21,,
5E+2,other,19/00547-da,19/00547-con2,,2020-12-18,2020-01-21,,
3.75E+3,other,18/00608-da,18/00608-con1,,2020-12-18,2019-07-19,,
2074,other,18/00608-da,18/00608-con2,,2020-12-18,2019-07-19,,
1.25E+3,other,19/00233-da,19/00233-con1,,2020-12-18,2020-03-05,,
284,monitoring-fees,19/00233-da,19/00233-con2,,2020-12-18,2020-03-05,,
1.25E+3,other,18/00071-da,18/00071-con1,,2020-12-18,2020-03-13,,
284,monitoring-fees,18/00071-da,18/00071-con2,,2020-12-18,2020-03-13,,
3512,other,20/50097-da,20/50097-con1,,2020-12-18,2020-03-04,,
653,other,20/50097-da,20/50097-con2,,2020-12-18,2020-03-04,,
284,monitoring-fees,20/50097-da,20/50097-con3,,2020-12-18,2020-03-04,,
