amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
22367,affordable-housing,09/93881-da,09/93881-con1,,2020-12-18,2009-05-05,,
5.5E+3,affordable-housing,08/93421-da,08/93421-con1,,2020-12-18,2008-12-17,,
52765.16,affordable-housing,07/91625-da,07/91625-con1,,2020-12-18,2007-09-17,,
8610.5,affordable-housing,10/94877-da,10/94877-con1,,2020-12-18,2010-06-22,,
85126,affordable-housing,10/95600-da,10/95600-con1,,2020-12-18,2011-07-11,,
2.5E+4,affordable-housing,08/92688-da,08/92688-con1,,2020-12-18,2008-05-07,,
22357,affordable-housing,08/93051-da,08/93051-con1,,2020-12-18,2008-09-16,,
53105,affordable-housing,05/85676-da,05/85676-con1,,2020-12-18,2007-01-15,,
1E+4,affordable-housing,11/96826-da,11/96826-con1,,2020-12-18,2012-03-22,,
4232.18,transport-and-travel,13/98880-da,13/98880-con1,,2020-12-18,2013-11-19,,
11827.75,transport-and-travel,13/98701-da,13/98701-con1,,2020-12-18,2013-11-11,,
5.3E+4,affordable-housing,12/97325-da,12/97325-con1,,2020-12-18,2012-08-08,,
3.4E+4,affordable-housing,11/96907-da,11/96907-con1,,2020-12-18,2012-03-15,,
1.82E+4,affordable-housing,14/00139-da,14/00139-con1,,2020-12-18,2014-05-22,,
1.98E+3,transport-and-travel,14/00139-da,14/00139-con2,,2020-12-18,2014-05-22,,
3745,transport-and-travel,14/00049-da,14/00049-con1,,2020-12-18,2014-04-03,,
3505,open-space-and-leisure,14/00049-da,14/00049-con2,,2020-12-18,2014-04-03,,
9.313E+4,affordable-housing,10/95881-da,10/95881-con1,,2020-12-18,2011-10-25,,
11683,open-space-and-leisure,10/95881-da,10/95881-con2,,2020-12-18,2011-10-25,,
5.52E+3,transport-and-travel,13/98485-da,13/98485-con1,,2020-12-18,2013-09-09,,
7.01E+3,open-space-and-leisure,14/00664-da,14/00664-con1,,2020-12-18,2014-10-21,,
3745,transport-and-travel,14/00664-da,14/00664-con2,,2020-12-18,2014-10-21,,
4.365E+4,affordable-housing,15/00735-da,15/00735-con1,,2020-12-18,2016-02-05,,
5457,transport-and-travel,15/00735-da,15/00735-con2,,2020-12-18,2016-02-05,,
5107.31,other,15/00376-da,15/00376-con1,,2020-12-18,2015-07-15,,
5149,affordable-housing,13/99091-da,13/99091-con1,,2020-12-18,2014-05-22,,
2.5E+3,other,13/99091-da,13/99091-con2,,2020-12-18,2014-05-22,,
5E+3,affordable-housing,13/98609-da,13/98609-con1,,2020-12-18,2014-08-04,,
3505,open-space-and-leisure,13/98609-da,13/98609-con2,,2020-12-18,2014-08-04,,
1.25E+3,other,13/98609-da,13/98609-con3,,2020-12-18,2014-08-04,,
1.25E+3,other,14/00886-da,14/00886-con1,,2020-12-18,2015-03-31,,
1.25E+3,other,16/00162-da,16/00162-con1,,2020-12-18,2016-05-18,,
6.25E+3,other,15/00652-da,15/00652-con1,,2020-12-18,2016-06-01,,
1.25E+3,other,16/00411-da,16/00411-con1,,2020-12-18,2016-08-04,,
1.25E+3,other,15/00805-da,15/00805-con1,,2020-12-18,2016-09-09,,
2.5E+3,other,16/00541-da,16/00541-con1,,2020-12-18,2016-08-21,,
1.25E+3,other,16/00512-da,16/00512-con1,,2020-12-18,2016-10-06,,
2.57E+4,affordable-housing,15/00552-da,15/00552-con1,,2020-12-18,2015-09-09,,
1168,open-space-and-leisure,15/00552-da,15/00552-con2,,2020-12-18,2015-09-09,,
3745,transport-and-travel,15/00552-da,15/00552-con3,,2020-12-18,2015-09-09,,
1.25E+3,other,15/00552-da,15/00552-con4,,2020-12-18,2015-09-09,,
1.25E+3,other,15/00154-da,15/00154-con1,,2020-12-18,2015-05-13,,
176,other,15/00154-da,15/00154-con2,,2020-12-18,2015-05-13,,
1.25E+3,other,16/00687-da,16/00687-con1,,2020-12-18,2016-11-28,,
176,other,16/00687-da,16/00687-con2,,2020-12-18,2016-11-28,,
5E+3,other,16/00841-da,16/00841-con1,,2020-12-18,2016-12-15,,
704,other,16/00841-da,16/00841-con2,,2020-12-18,2016-12-15,,
1.25E+3,other,15/00763-da,15/00763-con1,,2020-12-18,2017-02-14,,
1.25E+3,other,14/00301-da,14/00301-con1,,2020-12-18,2014-10-20,,
1.25E+3,other,15/00493-da,15/00493-con1,,2020-12-18,2015-08-13,,
174,other,15/00493-da,15/00493-con2,,2020-12-18,2015-08-13,,
1.25E+3,other,16/00506-da,16/00506-con1,,2020-12-18,2017-03-13,,
176,other,16/00506-da,16/00506-con2,,2020-12-18,2017-03-13,,
1.25E+3,other,16/00172-da,16/00172-con1,,2020-12-18,2016-05-20,,
176,other,16/00172-da,16/00172-con2,,2020-12-18,2016-05-20,,
1.25E+3,other,16/00581-da,16/00581-con1,,2020-12-18,2017-03-08,,
176,other,16/00581-da,16/00581-con2,,2020-12-18,2017-03-08,,
1.25E+3,other,17/00044-da,17/00044-con1,,2020-12-18,2017-04-12,,
181,other,17/00044-da,17/00044-con2,,2020-12-18,2017-04-12,,
1.25E+3,other,16/00837-da,16/00837-con1,,2020-12-18,2017-05-26,,
174,other,16/00837-da,16/00837-con2,,2020-12-18,2017-01-23,,
1.25E+3,other,17/00019-da,17/00019-con1,,2020-12-18,2017-07-04,,
1.25E+4,other,16/00804-da,16/00804-con1,,2020-12-18,2017-02-20,,
1.76E+3,other,16/00804-da,16/00804-con2,,2020-12-18,2017-02-20,,
1.25E+3,other,17/00260-da,17/00260-con1,,2020-12-18,2017-07-11,,
1.25E+3,other,16/00974-da,16/00974-con1,,2020-12-18,2017-01-13,,
176,other,16/00974-da,16/00974-con2,,2020-12-18,2017-01-13,,
2.5E+3,other,16/00486-da,16/00486-con1,,2020-12-18,2017-05-22,,
352,other,16/00486-da,16/00486-con2,,2020-12-18,2017-05-22,,
2.5E+3,other,16/00673-da,16/00673-con1,,2020-12-18,2017-11-02,,
362,other,16/00673-da,16/00673-con2,,2020-12-18,2017-11-02,,
3.75E+3,other,16/00556-da,16/00556-con1,,2020-12-18,2016-08-21,,
522,other,16/00556-da,16/00556-con2,,2020-12-18,2016-08-21,,
