amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
21994.27,open-space-and-leisure,SL/2015/0733-da,SL/2015/0733-con,,2020-12-09,local-authority-eng:SLA,2017-02-20,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2015-0733-con
9426.12,open-space-and-leisure,SL/2016/0528-da,SL/2016/0528-con,,2020-12-09,local-authority-eng:SLA,2016-10-20,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2016-0528-con
2.8836E+5,education,SL/2017/0841-da,SL/2017/0841-con1,,2020-12-09,local-authority-eng:SLA,2019-07-18,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2017-0841-con1
7.215E+4,transport-and-travel,SL/2017/0841-da,SL/2017/0841-con2,,2020-12-09,local-authority-eng:SLA,2019-07-18,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2017-0841-con2
3.6E+4,open-space-and-leisure,SL/2017/0841-da,SL/2017/0841-con3,,2020-12-09,local-authority-eng:SLA,2019-07-18,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2017-0841-con3
,affordable-housing,SL/2017/0841-da2,SL/2017/0841-con4,,2020-12-17,local-authority-eng:SLA,2019-07-18,37,/developer-agreement-contribution/local-authority-eng/SLA/SL-2017-0841-con4
10229.54,highways,SL/2017/0992-da,SL/2017/0992-con,,2020-12-09,local-authority-eng:SLA,2019-11-22,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2017-0992-con
17594.02,community-infrastructure-levy,CU/2018/0005-da,CU/2018/0005-con,,2020-12-10,local-authority-eng:SLA,2018-08-25,,/developer-agreement-contribution/local-authority-eng/SLA/CU-2018-0005-con
1416,community-infrastructure-levy,SL/2015/1012-da,SL/2015/1012-con,,2020-12-10,local-authority-eng:SLA,2019-06-28,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2015-1012-con
6056,community-infrastructure-levy,SL/2015/1052-da,SL/2015/1052-con,,2020-12-10,local-authority-eng:SLA,2019-10-23,,/developer-agreement-contribution/local-authority-eng/SLA/SL-2015-1052-con
