amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
12230.97,open-space-and-leisure,20160848-da,20160848REC,,2020-10-30,2016-12-08,,
11033.52,affordable-housing,20161531-da,20161531AH,,2020-11-25,2017-02-01,,
,affordable-housing,20161601-da,20161601AH,,2020-11-25,2017-01-05,27,
36210.66,open-space-and-leisure,20161611-da,20161611REC,,2020-10-30,2017-09-13,,
,affordable-housing,20161704-da,20161704AH,,2020-11-25,2017-04-03,4,
3.6E+4,other,20161704-da,20161704O,,2020-11-25,2017-04-03,,
3.6E+4,open-space-and-leisure,20161704-da,20161704REC,,2020-11-25,2017-04-03,,
42243.12,open-space-and-leisure,20161704-da,20161704LEI,,2020-11-25,2017-04-03,,
,affordable-housing,20161710-da,20161710AH,,2020-11-23,2017-05-22,2,
6331.99,open-space-and-leisure,20161710-da,20161710REC1,,2020-11-23,2017-05-22,,
6332,open-space-and-leisure,20161710-da,20161710REC2,,2020-11-23,2017-05-22,,
93039.6,education,20161793-da,20161793ED1,,2020-11-23,2017-06-07,,
93039.6,education,20161793-da,20161793ED2,,2020-11-23,2017-06-07,,
124052.8,education,20161793-da,20161793ED3,,2020-11-23,2017-06-07,,
1.936E+5,affordable-housing,20161793-da,20161793AH1,,2020-11-23,2017-06-07,,
1.936E+5,affordable-housing,20161793-da,20161793AH2,,2020-11-23,2017-06-07,,
1.694E+5,affordable-housing,20161793-da,20161793AH3,,2020-11-23,2017-06-07,,
65024.51,open-space-and-leisure,20161793-da,20161793OS1,,2020-11-23,2017-06-07,,
,open-space-and-leisure,20161793-da,20161793OS2,,2020-11-23,2017-06-07,1,
4378.67,open-space-and-leisure,20161793-da,20161793REC,,2020-11-23,2017-06-07,,
16936,highways,20161793-da,20161793HW,,2020-11-23,2017-06-07,,
1E+4,open-space-and-leisure,20161793-da,20161793LEI1,,2020-11-23,2017-06-07,,
1E+4,open-space-and-leisure,20161793-da,20161793LEI2,,2020-11-23,2017-06-07,,
24990.47,flood-and-water-management,20161793-da,20161793DR1,,2020-11-23,2017-06-07,,
,flood-and-water-management,20161793-da,20161793DR2,,2020-11-23,2017-06-07,1,
10113,education,20161816-da,20161816ED,,2020-10-29,2017-01-23,,
11033.52,affordable-housing,20161993-da,20161993AH,,2020-10-29,2017-02-01,,
,affordable-housing,20162009-da,20162009AH,,2020-10-30,2017-07-28,3,
,open-space-and-leisure,20162009-da,20162009OP,,2020-10-30,2017-07-28,1,
3.341E+4,open-space-and-leisure,20162009-da,20162009REC,,2020-10-30,2017-07-28,,
,affordable-housing,20170233-da,20170233AH,,2020-10-30,2017-05-22,2,
6331.99,open-space-and-leisure,20170233-da,20170233REC1,,2020-10-30,2017-05-22,,
6332,open-space-and-leisure,20170233-da,20170233REC2,,2020-10-30,2022-05-22,,
82200.3,education,20170389-da,20170389ED1,,2020-10-30,2018-03-29,,
82200.3,education,20170389-da,20170389ED2,,2020-10-30,2018-03-29,,
109600.4,education,20170389-da,20170389ED3,,2020-10-30,2018-03-29,,
,open-space-and-leisure,20170389-da,20170389OS,,2020-10-30,2018-03-29,1,
1404,monitoring-fees,20170389-da,20170389MF,,2020-10-30,2018-03-29,,
52639,affordable-housing,20170464-da,20170464AH,,2020-10-30,2018-05-02,,
7719.38,open-space-and-leisure,20170464-da,20170464REC,,2020-10-30,2018-05-02,,
,affordable-housing,20170511-da,20170511AH,,2020-10-30,2018-08-13,16,
7171.94,open-space-and-leisure,20170511-da,20170511REC,,2020-10-30,2018-08-13,,
,affordable-housing,20170674-da,20170674AH,,2020-10-30,2019-09-04,2,
,open-space-and-leisure,20170674-da,20170674OS,,2020-10-30,2019-09-04,1,
29808.9,education,20170767-da,20170767ED1,,2020-10-30,2017-10-24,,
29808.9,education,20170767-da,20170767ED2,,2020-10-30,2017-10-24,,
39745.2,education,20170767-da,20170767ED3,,2020-10-30,2017-10-24,,
46967.35,open-space-and-leisure,20170767-da,20170767REC,,2020-10-30,2917-10-24,,
245676.6,education,20171199-da,20171199ED1,,2020-10-30,2018-08-13,,
245676.6,education,20171199-da,20171199ED2,,2020-10-30,2018-08-13,,
327568.8,education,20171199-da,20171199ED3,,2020-10-30,2018-08-13,,
2.5443E+5,open-space-and-leisure,20171199-da,20171199REC,,2020-10-30,2018-08-13,,
,open-space-and-leisure,20171199-da,20171199OS,,2020-10-30,2018-08-13,1,
3E+3,highways,20171199-da,20171199TRO,,2020-10-31,2018-08-13,,
1E+5,health,20171199-da,20171199HEA,,2020-10-31,2018-08-13,,
5,affordable-housing,20171199-da,20171199AH1,,2020-10-31,2018-08-13,,
5,affordable-housing,20171199-da,20171199AH2,,2020-10-31,2013-08-13,,
5,affordable-housing,20171199-da,20171199AH3,,2020-10-31,2013-08-13,,
5,affordable-housing,20171199-da,20171199AH4,,2020-10-31,2013-08-13,,
5,affordable-housing,20171199-da,20171199AH5,,2020-10-31,2013-08-13,,
5,affordable-housing,20171199-da,20171199AH6,,2020-10-31,2013-08-13,,
102154.2,education,20171234-da,20171234ED1,,2020-10-29,2018-08-20,,
102154.2,education,20171234-da,20171234ED2,,2020-10-29,2018-08-20,,
3E+4,open-space-and-leisure,20171234-da,20171234REC1,,2020-10-29,2018-08-20,,
10875,open-space-and-leisure,20171234-da,20171234REC2,,2020-10-29,2018-08-20,,
,open-space-and-leisure,20171234-da,20171234OS,,2020-10-29,2018-08-20,1,
5E+3,highways,20171234-da,20171234HW,,2020-10-29,2018-08-20,,
2,affordable-housing,20171513-da,20171513AF,,2020-10-29,2018-12-20,,
51588,education,20171513-da,20171513ED1,,2020-10-29,2018-12-20,,
51588,education,20171513-da,20171513ED2,,2020-10-29,2018-12-20,,
30802.49,open-space-and-leisure,20171513-da,20171513REC,,2020-10-29,2018-12-20,,
,affordable-housing,20171541-da,20171541AH,,2020-10-29,2018-02-23,1,
8535,education,20171541-da,20171541ED,,2020-10-29,2018-02-23,,
876,highways,20171541-da,20171541HW,,2020-10-29,2018-02-23,,
,affordable-housing,20171975-da,20171975AH,,2020-10-29,2020-01-20,2,
9460.2,open-space-and-leisure,20171975-da,20171975OS,,2020-10-29,2020-01-20,,
,affordable-housing,20172006-da,20172006AH,,2020-10-29,2018-03-26,24,
,affordable-housing,20172008-da,20172008AH,,2020-10-29,2018-03-26,14,
39849.6,affordable-housing,20172080-da,20172080AH1,,2020-10-29,2018-09-19,,
39849.6,affordable-housing,20172080-da,20172080AH2,,2020-10-29,2018-09-19,,
5E+3,open-space-and-leisure,20172080-da,20172080LE,,2020-10-29,2018-09-19,,
7037.3,open-space-and-leisure,20172080-da,20172080REC,,2020-10-29,2018-09-19,,
,open-space-and-leisure,20172080-da,20172080OS,,2020-10-29,2018-09-19,1,
69212.6,affordable-housing,20172095-da,20172095AH1,,2020-10-29,2019-04-11,,
69212.6,affordable-housing,20172095-da,20172095AH2,,2020-10-29,2019-04-11,,
3E+4,transport-and-travel,20172095-da,20172095PT1,,2020-10-29,2019-04-11,,
3E+4,transport-and-travel,20172095-da,20172095PT2,,2020-10-29,2019-04-11,,
2.5E+4,open-space-and-leisure,20172095-da,20172095LE,,2020-10-29,2019-04-11,,
15844,open-space-and-leisure,20172095-da,20172095OS1,,2020-10-29,2019-04-11,,
,open-space-and-leisure,20172095-da,20172095OS2,,2020-10-29,2019-04-11,1,
,open-space-and-leisure,20172137-da,20172137OS,,2020-10-29,2018-03-27,1,
3.7E+4,open-space-and-leisure,20172137-da,20172137REC,,2020-10-29,2019-03-27,,
,affordable-housing,20180217-da,20180217AH,,2020-10-29,2018-03-26,16,
22881.83,highways,20180393-da,20180393HW1,,2020-10-29,2019-01-04,,
66796.23,highways,20180393-da,20180393HW2,,2020-10-29,2019-01-04,,
16656.6,affordable-housing,20180440-da,20180440AH,,2020-10-29,2019-09-30,,
33422.1,education,20180440-da,20180440ED1,,2020-10-29,2019-09-30,,
33422.1,education,20180440-da,20180440ED2,,2020-10-29,2019-09-30,,
44562.8,education,20180440-da,20180440ED3,,2020-10-29,2019-09-30,,
21413.4,open-space-and-leisure,20180440-da,20180440OS1,,2020-10-29,2019-09-30,,
1,open-space-and-leisure,20180440-da,20180440OS2,,2020-10-29,2019-09-30,,
33523,open-space-and-leisure,20180440-da,20180440REC,,2020-10-29,2019-09-30,,
1.7E+4,open-space-and-leisure,20180440-da,20180440LE,,2020-10-29,2019-09-30,,
6.5E+3,highways,20180440-da,20180440HW,,2020-10-29,2019-09-30,,
,affordable-housing,20180999-da,20180999AH,,2020-10-29,2019-03-21,22,
9315.2,open-space-and-leisure,20180999-da,20180999REC,,2020-10-29,2019-03-21,,
2E+3,highways,20180999-da,20180999HW,,2020-10-29,2019-03-21,,
,affordable-housing,20181021-da,20181021AH,,2020-10-29,2019-09-27,25,
,affordable-housing,20181069-da,20181069AH,,2020-10-29,2019-03-28,54,
3E+4,open-space-and-leisure,20181069-da,20181069LE,,2020-10-29,2019-03-28,,
53669.4,open-space-and-leisure,20181069-da,20181069REC,,2020-10-29,2019-03-28,,
,affordable-housing,20181247-da,20181247AH,,2020-10-29,2019-01-09,30,
8010.2,open-space-and-leisure,20181247-da,20181247REC,,2020-10-29,2019-01-09,,
,affordable-housing,20181363-da,20181363AH,,2020-10-29,2019-03-19,32,
