amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
2E+4,transport-and-travel,WB/03/00039/FULL-s106,WB/03/00039/FULL-PublicTransport,,2020-10-27,local-authority-eng:WOT,2003-11-25,,/developer-agreement-contribution/local-authority-eng/WOT/WB-03-00039-FULL-PublicTransport
14365,transport-and-travel,WB/06/0728/FULL-s106,WB/06/0728/FULL-TAD,,2020-10-27,local-authority-eng:WOT,2006-10-20,,/developer-agreement-contribution/local-authority-eng/WOT/WB-06-0728-FULL-TAD
4713,transport-and-travel,WB/07/0780/FULL-s106,WB/07/0780/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2007-06-26,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-0780-FULL-Transport
2438,transport-and-travel,WB/07/1009/FULL-s106,WB/07/1009/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2007-08-10,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1009-FULL-Transport
2.88E+3,transport-and-travel,WB/08/0097/FULL-s106,WB/08/0097/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2008-02-05,,/developer-agreement-contribution/local-authority-eng/WOT/WB-08-0097-FULL-Transport
2.4E+3,transport-and-travel,WB/07/1451/FULL-s106,WB/07/1451/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2008-02-11,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1451-FULL-Transport
14333,transport-and-travel,WB/07/0916/FULL-s106,WB/07/0916/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2008-03-11,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-0916-FULL-Transport
27372,transport-and-travel,WB/08/0497/FULL-s106,WB/08/0497/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2008-09-10,,/developer-agreement-contribution/local-authority-eng/WOT/WB-08-0497-FULL-Transport
150548,open-space-and-leisure,WB/06/1121/FULL-s106,WB/06/1121/FULL-OpenSpace,,2020-10-27,local-authority-eng:WOT,2009-02-05,,/developer-agreement-contribution/local-authority-eng/WOT/WB-06-1121-FULL-OpenSpace
24566,open-space-and-leisure,WB/09/0732/FULL-s106,WB/09/0732/FULL-RecSpace,,2020-10-27,local-authority-eng:WOT,2009-11-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-09-0732-FULL-RecSpace
1.504E+4,transport-and-travel,WB/09/0732/FULL-s106,WB/09/0732/FULL-Transport,,2020-10-27,local-authority-eng:WOT,2009-11-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-09-0732-FULL-Transport
3.2E+4,transport-and-travel,WB/07/1120/FULL-s106,WB/07/1120/FULL-TAD,,2020-10-27,local-authority-eng:WOT,2009-12-18,,/developer-agreement-contribution/local-authority-eng/WOT/WB-07-1120-FULL-TAD
4.329E+4,transport-and-travel,WB/10/0281/FULL-s106,WB/10/0281/FULL-TAD,,2020-10-27,local-authority-eng:WOT,2011-03-23,,/developer-agreement-contribution/local-authority-eng/WOT/WB-10-0281-FULL-TAD
15545,flood-and-water-management,WB/10/0895/FULL-s106,WB/10/0895/FULL-FloodDef,,2020-10-27,local-authority-eng:WOT,2011-05-04,,/developer-agreement-contribution/local-authority-eng/WOT/WB-10-0895-FULL-FloodDef
250813,open-space-and-leisure,WB/11/0275/OUT-s106,WB/11/0275/OUT-SwimPool,,2020-10-27,local-authority-eng:WOT,2012-04-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-11-0275-OUT-SwimPool
35323,other,WB/11/0275/OUT-s106,WB/11/0275/OUT-ClerkOfWorks,,2020-10-27,local-authority-eng:WOT,2012-04-27,,/developer-agreement-contribution/local-authority-eng/WOT/WB-11-0275-OUT-ClerkOfWorks
83538,open-space-and-leisure,AWDM/0055/13-s106,AWDM/0055/13-OpenSpace,,2020-10-27,local-authority-eng:WOT,2013-09-03,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-0055-13-OpenSpace
1.2E+4,transport-and-travel,AWDM/0680/15-s106,AWDM/0680/15-BusShelter,,2020-10-27,local-authority-eng:WOT,2015-09-14,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-0680-15-BusShelter
2.5E+4,affordable-housing,AWDM/1542/16-s106,AWDM/1542/16-AffHousing,,2020-10-27,local-authority-eng:WOT,2017-04-20,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1542-16-AffHousing
7E+4,affordable-housing,AWDM/1075/17-s106,AWDM/1075/17-AffHousing,,2020-10-27,local-authority-eng:WOT,2017-12-12,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1075-17-AffHousing
2.79E+4,community-infrastructure-levy,AWDM/1409/17-CIL,AWDM/1409/17-TotalCIL,,2020-10-27,local-authority-eng:WOT,2019-02-07,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1409-17-TotalCIL
,transport-and-travel,AWDM/1763/18-s106,AWDM/1763/18-CarClub,,2020-01-28,local-authority-eng:WOT,2019-05-01,1,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1763-18-CarClub
,transport-and-travel,AWDM/1763/18-s106,AWDM/1763/18-TravelPlan,,2020-01-28,local-authority-eng:WOT,2019-05-01,1,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1763-18-TravelPlan
3E+5,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousing,,2020-01-28,local-authority-eng:WOT,2019-05-23,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-AffHousing
2.97E+5,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousing2,,2020-01-28,local-authority-eng:WOT,2019-05-23,,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-AffHousing2
,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousingUnits,,2020-01-28,local-authority-eng:WOT,2019-05-23,5,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-AffHousingUnits
,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-CarClub,,2020-01-28,local-authority-eng:WOT,2019-05-23,1,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-CarClub
,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-EVChargingPoints,,2020-01-28,local-authority-eng:WOT,2019-05-23,21,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-EVChargingPoints
,other,AWDM/1480/18-s106,AWDM/1480/18-ManagementCo,,2020-01-30,local-authority-eng:WOT,2019-05-23,1,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-ManagementCo
,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-TravelPlan,,2020-01-28,local-authority-eng:WOT,2019-05-23,1,/developer-agreement-contribution/local-authority-eng/WOT/AWDM-1480-18-TravelPlan
