amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
29999.9,open-space-and-leisure,0514/0037/DA,0514/0037/C/open,,2020-10-29,local-authority-eng:ERE,2014-10-13,,/developer-agreement-contribution/local-authority-eng/ERE/0514-0037-C-open
35615,transport-and-travel,0514/0037/DA,0514/0037/C/travel,,2020-10-29,local-authority-eng:ERE,2014-10-13,,/developer-agreement-contribution/local-authority-eng/ERE/0514-0037-C-travel
12,affordable-housing,0512/0002/DA,0512/0002/C/housing,,2020-10-29,local-authority-eng:ERE,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-housing
1.5E+4,economic-development,0512/0002/DA,0512/0002/C/eco,,2020-10-29,local-authority-eng:ERE,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-eco
2.5E+5,economic-development,0512/0002/DA,0512/0002/C/eco2,,2020-10-29,local-authority-eng:ERE,2013-04-16,,/developer-agreement-contribution/local-authority-eng/ERE/0512-0002-C-eco2
16187.64,education,1118/0006/DA,1118/0006/C/education,,2020-11-04,local-authority-eng:ERE,2019-03-28,,/developer-agreement-contribution/local-authority-eng/ERE/1118-0006-C-education
6,affordable-housing,1118/0006/DA,1118/0006/C/housing,,2020-11-04,local-authority-eng:ERE,2019-03-28,,/developer-agreement-contribution/local-authority-eng/ERE/1118-0006-C-housing
2937,open-space-and-leisure,0417/0027/DA,0417/0027/C/open,,2020-11-04,local-authority-eng:ERE,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-open
17176.17,education,0417/0027/DA,0417/0027/C/education,,2020-11-04,local-authority-eng:ERE,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-education
2.4E+4,economic-development,0417/0027/DA,0417/0027/C/eco,,2020-11-04,local-authority-eng:ERE,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-eco
3.24E+4,transport-and-travel,0417/0027/DA,0417/0027/C/travel,,2020-11-04,local-authority-eng:ERE,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-travel
4.2E+3,open-space-and-leisure,0117/0021/DA,0117/0021/C/open,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-open
1E+1,affordable-housing,0117/0021/DA,0117/0021/C/housing,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-housing
1.96E+4,transport-and-travel,0117/0021/DA,0117/0021/C/travel,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-travel
5.77E+3,open-space-and-leisure,0115/0018/DA,0115/0018/C/open,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-open
45596,education,0115/0018/DA,0115/0018/C/education,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-education
3E+1,affordable-housing,0115/0018/DA,0115/0018/C/affordable,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-affordable
2.53E+4,education,0515/0017/DA,0515/0017/C/education,,2020-11-04,local-authority-eng:ERE,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-education
3.3E+3,open-space-and-leisure,0515/0017/DA,0515/0017/C/open,,2020-11-04,local-authority-eng:ERE,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-open
5,affordable-housing,0515/0017/DA,0515/0017/C/housing,,2020-11-04,local-authority-eng:ERE,2015-11-23,,/developer-agreement-contribution/local-authority-eng/ERE/0515-0017-C-housing
6.93E+3,open-space-and-leisure,0919/0062/DA,0919/0062/C/open,,2020-11-04,local-authority-eng:ERE,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-open
45596.04,education,0919/0062/DA,0919/0062/C/education,,2020-11-04,local-authority-eng:ERE,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-education
3,affordable-housing,0919/0062/DA,0919/0062/C/housing,,2020-11-04,local-authority-eng:ERE,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-housing
5.28E+4,transport-and-travel,0919/0062/DA,0919/0062/C/travel,,2020-11-04,local-authority-eng:ERE,2017-03-14,,/developer-agreement-contribution/local-authority-eng/ERE/0919-0062-C-travel
1E+5,affordable-housing,0402/0083/DA,0402/0083/C/housing,,2020-11-04,local-authority-eng:ERE,2015-12-23,,/developer-agreement-contribution/local-authority-eng/ERE/0402-0083-C-housing
45496,education,0216/0012/DA,0216/0012/C/education,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-education
9651,open-space-and-leisure,0216/0012/DA,0216/0012/C/open,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-open
3,affordable-housing,0216/0012/DA,0216/0012/C/housing,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing
2,affordable-housing,0216/0012/DA,0216/0012/C/housing2,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing2
,education,1014/0006/DA,1014/0006/C/education,,2020-11-04,local-authority-eng:ERE,2015-10-29,,/developer-agreement-contribution/local-authority-eng/ERE/1014-0006-C-education
,open-space-and-leisure,1014/0006/DA,1014/0006/C/open,,2020-11-04,local-authority-eng:ERE,2015-10-29,,/developer-agreement-contribution/local-authority-eng/ERE/1014-0006-C-open
,open-space-and-leisure,0315/0034/DA,0315/0034/C/open,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-open
,transport-and-travel,0315/0034/DA,0315/0034/C/travel,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-travel
,economic-development,0315/0034/DA,0315/0034/C/eco,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-eco
,affordable-housing,0315/0034/DA,0315/0034/C/housing,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-housing
,affordable-housing,0516/0017/DA,0516/0017/C/housing,,2020-11-04,local-authority-eng:ERE,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-housing
,education,0516/0017/DA,0516/0017/C/education,,2020-11-04,local-authority-eng:ERE,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-education
,transport-and-travel,0516/0017/DA,0516/0017/C/travel,,2020-11-04,local-authority-eng:ERE,2017-01-11,,/developer-agreement-contribution/local-authority-eng/ERE/0516-0017-C-travel
115902,highways,0716/0012/DA,0716/0012/C/highways,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-highways
8E+4,highways,0716/0012/DA,0716/0012/C/highways2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-highways2
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel2
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel3,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel3
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel4,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel4
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel5,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel5
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel6,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel6
2.095E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travel7,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travel7
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus2
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus3,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus3
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus4,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus4
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus5,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus5
116667,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus6,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus6
4.8E+4,transport-and-travel,0716/0012/DA,0716/0012/C/travelbus7,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-travelbus7
1E+5,green-infrastructure,0716/0012/DA,0716/0012/C/gi,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-gi
1E+5,green-infrastructure,0716/0012/DA,0716/0012/C/gi2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-gi2
1,green-infrastructure,0716/0012/DA,0716/0012/C/gi3,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-gi3
398965.35,education,0716/0012/DA,0716/0012/C/education1,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-education1
398965.35,education,0716/0012/DA,0716/0012/C/education2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-education2
8597.91,open-space-and-leisure,0716/0012/DA,0716/0012/C/open,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-open
1,open-space-and-leisure,0716/0012/DA,0716/0012/C/open2,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-open2
28613.84,open-space-and-leisure,0716/0012/DA,0716/0012/C/open3,,2020-11-04,local-authority-eng:ERE,2015-12-10,,/developer-agreement-contribution/local-authority-eng/ERE/0716-0012-C-open3
