developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
SU/56/03-OpenSpace,5E+4,,open-space-and-leisure,SU/56/03-s106,local-authority-eng:ADU,2020-10-26,2004-06-10,,/developer-agreement-contribution/local-authority-eng/ADU/SU-56-03-OpenSpace
AWDM/0205/12-LeisureFacilities,6.5E+5,,open-space-and-leisure,AWDM/0205/12-s106,local-authority-eng:ADU,2020-10-26,2013-01-21,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0205-12-LeisureFacilities
AWDM/1242/12-TAD,4.45E+4,,transport-and-travel,AWDM/1242/12-s106,local-authority-eng:ADU,2020-10-26,2013-03-25,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-1242-12-TAD
AWDM/1483/12-Transport,101738,,transport-and-travel,AWDM/1483/12-s106,local-authority-eng:ADU,2020-11-02,2013-06-12,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-1483-12-Transport
AWDM/0935/13-PlayArea,5.5E+4,,open-space-and-leisure,AWDM/0935/13-s106,local-authority-eng:ADU,2020-10-26,2015-06-12,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0935-13-PlayArea
AWDM/0935/13-PublicArt,1.5E+4,,other,AWDM/0935/13-s106,local-authority-eng:ADU,2020-10-26,2015-06-12,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0935-13-PublicArt
AWDM/0969/17-CyclePedestrianLinks,1.002E+4,,transport-and-travel,AWDM/0969/17-s106,local-authority-eng:ADU,2020-10-26,2018-04-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0969-17-CyclePedestrianLinks
AWDM/0969/17-AffHousing,32653.06,,affordable-housing,AWDM/0969/17-s106,local-authority-eng:ADU,2020-10-26,2018-04-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0969-17-AffHousing
AWDM/1093/17-DrainagePlan,,1,other,AWDM/1093/17-s106,local-authority-eng:ADU,2020-01-30,2019-12-20,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-1093-17-DrainagePlan
AWDM/0961/17-AffHousing1,6.48E+5,,affordable-housing,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-AffHousing1
AWDM/0961/17-AffHousing2,,180,affordable-housing,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-AffHousing2
AWDM/0961/17-AffHousing3,1.60704E+6,,affordable-housing,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-AffHousing3
AWDM/0961/17-AirQualityPlan,,1,other,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-AirQualityPlan
AWDM/0961/17-AirQuality,6.63E+5,,other,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-AirQuality
AWDM/0961/17-CommunityHub,,1,land,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-CommunityHub
AWDM/0961/17-CountryPark,,1,land,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-CountryPark
AWDM/0961/17-DrainagePlan,,1,flood-and-water-management,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-DrainagePlan
AWDM/0961/17-EmploymentPlan,,1,economic-development,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-EmploymentPlan
AWDM/0961/17-Health,5E+5,,health,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-Health
AWDM/0961/17-PlayAreaSite,,1,land,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-PlayAreaSite
AWDM/0961/17-PlayArea,1E+5,,open-space-and-leisure,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-PlayArea
AWDM/0961/17-Police,109359.31,,other,AWDM/0961/17-s106,local-authority-eng:ADU,2020-02-13,2020-02-04,,/developer-agreement-contribution/local-authority-eng/ADU/AWDM-0961-17-Police
