amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
20083,transport-and-travel,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
21732,transport-and-travel,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
2.66E+5,transport-and-travel,P/13/1826/2-da,P/13/1826/2-dac,2019-07-29,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
6E+3,transport-and-travel,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
11468.44,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
1.623E+4,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
62865,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
65828.33,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
8818.5,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
9234.19,community-facilities,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
2137028.25,education,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
111481.92,health,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
677688.36,highways,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
2139.87,other,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
3E+4,other,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
7.6E+4,other,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
0,open-space-and-leisure,P/13/1826/2-da,P/13/1826/2-dac,,2020-11-04,local-authority-eng:CHA,2017-02-27,,/developer-agreement-contribution/local-authority-eng/CHA/P-13-1826-2-dac
10076,community-facilities,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
5.89E+3,community-facilities,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
556233.67,education,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
121423.68,health,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
3.5E+3,highways,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
6E+3,highways,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
0,open-space-and-leisure,P/15/0047/2-da,P/15/0047/2-dac,,2020-11-04,local-authority-eng:CHA,2018-05-02,,/developer-agreement-contribution/local-authority-eng/CHA/P-15-0047-2-dac
5682.5,open-space-and-leisure,P/17/2200/2-da,P/17/2200/2-dac,2019-12-23,2020-11-04,local-authority-eng:CHA,2018-10-26,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2200-2-dac
23328.77,health,P/17/0388/2-da,P/17/0388/2-dac,,2020-11-04,local-authority-eng:CHA,2019-12-20,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-0388-2-dac
62425,community-facilities,P/17/2338/2-dac,P/17/2338/2-dat,,2020-11-04,local-authority-eng:CHA,2019-01-14,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2338-2-dat
154555.2,highways,P/17/2338/2-dac,P/17/2338/2-dat,,2020-11-04,local-authority-eng:CHA,2019-01-14,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2338-2-dat
2.5E+2,monitoring-fees,P/17/2338/2-dac,P/17/2391/2-dac,,2020-11-04,local-authority-eng:CHA,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
3E+2,monitoring-fees,P/17/2338/2-dac,P/17/2391/2-dac,,2020-11-04,local-authority-eng:CHA,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
6.9E+2,affordable-housing,P/17/2391/2-da,P/17/2391/2-dac,,2020-11-04,local-authority-eng:CHA,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
66786.54,education,P/17/2391/2-da,P/17/2391/2-dac,,2020-11-04,local-authority-eng:CHA,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
14455.2,health,P/17/2391/2-da,P/17/2391/2-dac,,2020-11-04,local-authority-eng:CHA,2019-11-29,,/developer-agreement-contribution/local-authority-eng/CHA/P-17-2391-2-dac
3E+2,monitoring-fees,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
2.4E+2,transport-and-travel,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
7E+3,transport-and-travel,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
1.3E+3,community-facilities,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
2222,community-facilities,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
124862,education,P/18/0284/2-da,P/18/0284/2-dac,,2020-11-04,local-authority-eng:CHA,2019-05-15,,/developer-agreement-contribution/local-authority-eng/CHA/P-18-0284-2-dac
