amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
,education,06/15/0441/O_6.46,06/15/0441/O_EDU,,2020-07-14,local-authority-eng:NFK,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-EDU
,community-facilities,06/15/0441/O_6.46,06/15/0441/O_LIB,,2020-07-15,local-authority-eng:NFK,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-LIB
1E+5,transport-and-travel,06/15/0441/O_6.46,06/15/0441/O_TP,,2020-05-12,local-authority-eng:NFK,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-TP
,education,06/18/0149/O-6.96a,06/18/0149/O_EDU,,2020-10-01,local-authority-eng:NFK,2019-10-08,,/developer-agreement-contribution/local-authority-eng/NFK/06-18-0149-O-EDU
,community-facilities,06/18/0149/O-6.96a,06/18/0149/O_LIB,,2020-10-01,local-authority-eng:NFK,2019-10-08,,/developer-agreement-contribution/local-authority-eng/NFK/06-18-0149-O-LIB
807317.33,education,16/02231/OM-2.199,16/02231/OM_EDU,,2020-10-01,local-authority-eng:NFK,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-EDU
,highways,16/02231/OM-2.199,16/02231/OM_H,,2020-05-12,local-authority-eng:NFK,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-H
15875,community-facilities,16/02231/OM-2.199,16/02231/OM_LIB,,2020-10-01,local-authority-eng:NFK,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-LIB
,monitoring-fees,16/02231/OM-2.199,16/02231/OM_MON,,2020-10-01,local-authority-eng:NFK,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-MON
,transport-and-travel,16/02231/OM-2.199,16/02231/OM_PT,,2020-05-12,local-authority-eng:NFK,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-PT
,education,3PL/2015/0917/O_3.147,3PL/2015/0917/O_EDU,,2020-07-21,local-authority-eng:NFK,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-EDU
,green-infrastructure,3PL/2015/0917/O_3.147,3PL/2015/0917/O_GI,,2020-05-12,local-authority-eng:NFK,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-GI
