amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
15139.55,,,other,,2020-01-12,local-authority-eng:BRA,2009-02-27,,/developer-agreement-contribution/local-authority-eng/BRA/other
1998,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2011-03-29,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
10391.05,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2014-07-17,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
26191.1,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2014-10-10,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
11320.01,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2014-10-29,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
15974.88,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2014-10-29,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
19963.31,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2016-11-18,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
412.95,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2017-08-16,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
11939.38,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2017-10-16,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
749,,,other,,2020-01-12,local-authority-eng:BRA,2018-02-19,,/developer-agreement-contribution/local-authority-eng/BRA/other
648,,,transport-and-travel,,2020-01-12,local-authority-eng:BRA,2018-08-10,,/developer-agreement-contribution/local-authority-eng/BRA/transport-and-travel
319931,,,community-facilities,,2020-01-12,local-authority-eng:BRA,2018-08-10,,/developer-agreement-contribution/local-authority-eng/BRA/community-facilities
1.4E+3,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2018-10-26,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
7087,,,community-facilities,,2020-01-12,local-authority-eng:BRA,2018-11-15,,/developer-agreement-contribution/local-authority-eng/BRA/community-facilities
3698,,,health,,2020-01-12,local-authority-eng:BRA,2018-11-15,,/developer-agreement-contribution/local-authority-eng/BRA/health
231.71,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2018-11-15,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
76967.03,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2018-12-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
2765.82,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-03-29,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
5045.81,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-08-05,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
21947.65,,,affordable-housing,,2020-01-12,local-authority-eng:BRA,2019-08-05,,/developer-agreement-contribution/local-authority-eng/BRA/affordable-housing
66775.05,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-07-23,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
49684.07,,,health,,2020-01-12,local-authority-eng:BRA,2019-08-22,,/developer-agreement-contribution/local-authority-eng/BRA/health
30600.9,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
6699.2,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
1445.98,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
15951.22,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
100781.4,,,community-facilities,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/community-facilities
82478,,,health,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/health
211111.46,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
45049.82,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
26661.4,,,other,,2020-01-12,local-authority-eng:BRA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/BRA/other
44593.35,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-19,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
2107.21,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-19,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
29883.85,,,health,,2020-01-12,local-authority-eng:BRA,2019-11-19,,/developer-agreement-contribution/local-authority-eng/BRA/health
66298.71,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-19,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
86768.69,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
3621.7,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
57068.54,,,health,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/health
16877.77,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
129189.62,,,open-space-and-leisure,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/open-space-and-leisure
15598.71,,,other,,2020-01-12,local-authority-eng:BRA,2019-11-12,,/developer-agreement-contribution/local-authority-eng/BRA/other
