amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
24759.16,other,70243/05-da,70243/05-dc2,,2020-03-31,2005-08-19,,
29002,open-space-and-leisure,78000/07-da,78000/07-dc1,,2020-03-31,2008-07-11,,
15365.79,other,75033/06-da,75033/06-dc1,,2020-03-31,2007-04-20,,
4599.15,other,78000/07-da,78000/07-dc2,,2020-03-31,2008-07-11,,
9586.99,open-space-and-leisure,47118/95-da,47118/95-dc1,,2020-03-31,1996-03-27,,
48505,open-space-and-leisure,31080/88-da,31080/88-dc1,,2020-03-31,1988-12-13,,
5628.8,open-space-and-leisure,36153/90-da,36153/90-dc1,,2020-03-31,1990-12-30,,
1943.8,open-space-and-leisure,43439/93-da,43439/93-dc1,,2020-03-31,1993-12-07,,
23102.34,open-space-and-leisure,37390/90-da,37390/90-dc1,,2020-03-31,1991-03-21,,
1682,open-space-and-leisure,47641/95-da,47641/95-dc1,,2020-03-31,1996-02-08,,
-1.8E+2,open-space-and-leisure,47874/95-da,47874/95-dc1,,2020-03-31,1997-03-26,,
1480.42,open-space-and-leisure,49236/96-da,49236/96-dc1,,2020-03-31,1997-02-17,,
893.15,open-space-and-leisure,48883/96-da,48883/96-dc1,,2020-03-31,1997-04-18,,
11874.79,open-space-and-leisure,49236/96-da,49236/96-dc2,,2020-03-31,1997-02-17,,
28438,open-space-and-leisure,55870/99-da,55870/99-dc1,,2020-03-31,2000-04-07,,
2423.26,open-space-and-leisure,59154/01-da,59154/01-dc1,,2020-03-31,2001-11-16,,
3711.5,open-space-and-leisure,48793/96-da,48793/96-dc1,,2020-03-31,1996-08-25,,
2020.8,open-space-and-leisure,48793/96-da,48793/96-dc2,,2020-03-31,1996-08-25,,
1.8E+4,open-space-and-leisure,50028/97-da,50028/97-dc1,,2020-03-31,1997-12-24,,
5652.75,open-space-and-leisure,45255/94-da,45255/94-dc1,,2020-03-31,1995-03-13,,
1931.98,open-space-and-leisure,59315/01-da,59315/01-dc1,,2020-03-31,2001-11-01,,
6717.44,open-space-and-leisure,48401/96-da,48401/96-dc1,,2020-03-31,1996-09-12,,
6E+2,open-space-and-leisure,54285/99-da,54285/99-dc1,,2020-03-31,1998-12-08,,
7367.72,open-space-and-leisure,63515/02-da,63515/02-dc1,,2020-03-31,2003-03-21,,
8289.13,open-space-and-leisure,63993/03-da,63993/03-dc1,,2020-03-31,2003-07-10,,
14493.78,open-space-and-leisure,49577/96-da,49577/96-dc1,,2020-03-31,1998-04-08,,
