amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
4.2E+5,affordable-housing,APP/V5570/C/18/3199860-da,APP/V5570/C/18/3199860-AHCSS,,2020-08-05,local-authority-eng:ISL,2019-07-04,0,/developer-agreement-contribution/local-authority-eng/ISL/APP-V5570-C-18-3199860-AHCSS
7E+3,green-infrastructure,APP/V5570/C/18/3199860-da,APP/V5570/C/18/3199860-COCSS,,2020-08-05,local-authority-eng:ISL,2019-07-04,0,/developer-agreement-contribution/local-authority-eng/ISL/APP-V5570-C-18-3199860-COCSS
0,other,APP/V5570/C/18/3199860-da,APP/V5570/C/18/3199860-CFH,,2020-08-05,local-authority-eng:ISL,2019-07-04,0,/developer-agreement-contribution/local-authority-eng/ISL/APP-V5570-C-18-3199860-CFH
0,highways,P092492-da,P092492-HW,,2020-08-05,local-authority-eng:ISL,2019-12-11,0,/developer-agreement-contribution/local-authority-eng/ISL/P092492-HW
0,highways,P2015/3989/FUL-da,P2015/3989/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-3989-FUL-HW
0,highways,P2015/3989/FUL-da,P2015/3989/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-3989-FUL-HWComm
41714.36,highways,P2015/3989/FUL-da,P2015/3989/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-3989-FUL-HWCost
0,highways,P2015/5260/FUL-da,P2015/5260/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-5260-FUL-HWComm
51741.77,highways,P2015/5260/FUL-da,P2015/5260/FUL-HWCont,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-5260-FUL-HWCont
0,highways,P2015/5260/FUL-da,P2015/5260/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-contribution/local-authority-eng/ISL/P2015-5260-FUL-HW
0,highways,P2016/1999/FUL-da,P2016/1999/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-contribution/local-authority-eng/ISL/P2016-1999-FUL-HWComm
20913.75,highways,P2016/1999/FUL-da,P2016/1999/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-contribution/local-authority-eng/ISL/P2016-1999-FUL-HWCost
0,highways,P2016/1999/FUL-da,P2016/1999/FUL-HW,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-contribution/local-authority-eng/ISL/P2016-1999-FUL-HW
0,highways,P2016/2994/S73-da,P2016/2994/S73-HWTL,,2020-08-05,local-authority-eng:ISL,2019-09-30,0,/developer-agreement-contribution/local-authority-eng/ISL/P2016-2994-S73-HWTL
0,other,P2017/2243/FUL-da,P2017/2243/FUL-CN,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-2243-FUL-CN
6E+4,affordable-housing,P2017/2243/FUL-da,P2017/2243/FUL-AHCSS,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-2243-FUL-AHCSS
1E+3,green-infrastructure,P2017/2243/FUL-da,P2017/2243/FUL-COCSS,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-2243-FUL-COCSS
0,other,P2017/2243/FUL-da,P2017/2243/FUL-CFH,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-2243-FUL-CFH
0,highways,P2017/3103/FUL-da,P2017/3103/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3103-FUL-HWComm
371678.89,highways,P2017/3103/FUL-da,P2017/3103/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3103-FUL-HWCost
47743.58,highways,P2017/3103/FUL-da,P2017/3103/FUL-HWCS,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3103-FUL-HWCS
0,highways,P2017/3103/FUL-da,P2017/3103/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3103-FUL-HW
0,other,P2017/3242/FUL-da,P2017/3242/FUL-IN,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3242-FUL-IN
0,other,P2017/3242/FUL-da,P2017/3242/FUL-CmN,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3242-FUL-CmN
0,other,P2017/3242/FUL-da,P2017/3242/FUL-ON,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3242-FUL-ON
4E+3,transport-and-travel,P2017/3242/FUL-da,P2017/3242/FUL-ATC,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-contribution/local-authority-eng/ISL/P2017-3242-FUL-ATC
