amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
346,other,19/00014/FUL-1,19/00014/FUL-1-1,,2020-12-13,2019-08-07,,
,affordable-housing,19/00065/FUL-1,19/00065/FUL-1-1,,2020-12-16,2019-11-27,,
1E+3,other,19/00065/FUL-1,19/00065/FUL-1-2,,2020-12-16,2019-11-27,,
337,other,19/00068/HOU-1,19/00068/HOU-1-1,,2020-12-14,2019-07-31,,
3806,other,19/00080/FUL-1,19/00080/FUL-1-1,,2020-12-22,2019-12-23,,
1E+4,transport-and-travel,19/00080/FUL-1,19/00080/FUL-1-2,,2020-12-22,2019-12-23,,
653,other,19/00120/FUL-1,19/00120/FUL-1-1,,2020-12-11,2019-06-05,,
,affordable-housing,19/00120/FUL-2,19/00120/FUL-2-1,,2020-12-11,2019-06-13,,
768,other,19/00146/FUL-1,19/00146/FUL-1-1,,2020-12-13,2019-06-25,,
,affordable-housing,19/00149/RVC-1,19/00149/RVC-1-1,,2020-12-15,2020-02-26,,
846,other,19/00149/RVC-1,19/00149/RVC-1-2,,2020-12-15,2020-02-26,,
,affordable-housing,19/00174/FUL-1,19/00174/FUL-1-1,,2020-12-13,2019-07-09,,
653,other,19/00174/FUL-1,19/00174/FUL-1-2,,2020-12-13,2019-07-09,,
,affordable-housing,19/00200/FUL-1,19/00200/FUL-1-1,,2020-12-14,2019-10-17,,
1306,other,19/00200/FUL-1,19/00200/FUL-1-2,,2020-12-14,2019-10-17,,
172,other,19/00212/RVC-1,19/00212/RVC-1-1,,2020-12-13,2019-06-02,,
346,other,19/00272/FUL-1,19/00272/FUL-1-1,,2020-12-15,2019-12-10,,
,affordable-housing,19/00291/FUL-1,19/00291/FUL-1-1,,2020-12-13,2019-08-20,,
692,other,19/00291/FUL-1,19/00291/FUL-1-2,,2020-12-13,2019-08-20,,
1.73E+3,other,19/00304/FUL-1,19/00304/FUL-1-1,,2020-12-14,2019-08-28,,
,affordable-housing,19/00362/RVC-1,19/00362/RVC-1-1,,2020-12-23,2019-08-18,,
653,other,19/00362/RVC-1,19/00362/RVC-1-2,,2020-12-23,2019-08-18,,
4806,other,19/00382/FUL-1,19/00382/FUL-1-1,,2020-12-16,2019-11-27,,
5E+2,other,19/00442/HOU-1,19/00442/HOU-1-1,,2020-12-15,2019-09-23,,
2421,other,19/00443/FUL-1,19/00443/FUL-1-1,,2020-12-13,2019-11-08,,
,affordable-housing,19/00589/FUL-1,19/00589/FUL-1-1,,2020-12-23,2019-10-07,,
