amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
1E+4,green-infrastructure,384-18/72489/FUL-da,384-18/72489/FUL-da-pr,,2020-10-09,local-authority-eng:SLF,2019-04-08,,/developer-agreement-contribution/local-authority-eng/SLF/384-18-72489-FUL-da-pr
16435,green-infrastructure,385-18/72094/FUL-da,385-18/72094/FUL-da-pr,,2020-10-09,local-authority-eng:SLF,2019-06-05,,/developer-agreement-contribution/local-authority-eng/SLF/385-18-72094-FUL-da-pr
5.19E+4,open-space-and-leisure,385-18/72094/FUL-da,385-18/72094/FUL-da-os,,2020-10-09,local-authority-eng:SLF,2019-06-05,,/developer-agreement-contribution/local-authority-eng/SLF/385-18-72094-FUL-da-os
18165,education,385-18/72094/FUL-da,385-18/72094/FUL-da-ed,,2020-10-09,local-authority-eng:SLF,2019-06-05,,/developer-agreement-contribution/local-authority-eng/SLF/385-18-72094-FUL-da-ed
3.5E+3,transport-and-travel,385-18/72094/FUL-da,385-18/72094/FUL-da-tt,,2020-10-09,local-authority-eng:SLF,2019-06-05,,/developer-agreement-contribution/local-authority-eng/SLF/385-18-72094-FUL-da-tt
3.6E+4,green-infrastructure,386-18/72343/FUL-da,386-18/72343/FUL-da-pr,,2020-10-09,local-authority-eng:SLF,2019-06-12,,/developer-agreement-contribution/local-authority-eng/SLF/386-18-72343-FUL-da-pr
3.64E+4,green-infrastructure,386-18/72343/FUL-da,386-18/72343/FUL-da-pr2,,2020-10-09,local-authority-eng:SLF,2019-06-12,,/developer-agreement-contribution/local-authority-eng/SLF/386-18-72343-FUL-da-pr2
6.7E+3,transport-and-travel,387-18/72242/FUL-da,387-18/72242/FUL-da-tt,,2020-10-09,local-authority-eng:SLF,2019-07-08,,/developer-agreement-contribution/local-authority-eng/SLF/387-18-72242-FUL-da-tt
4.68E+5,green-infrastructure,387-18/72242/FUL-da,387-18/72242/FUL-da-pr,,2020-10-09,local-authority-eng:SLF,2019-07-08,,/developer-agreement-contribution/local-authority-eng/SLF/387-18-72242-FUL-da-pr
1.23E+5,green-infrastructure,388-16/68464/FUL-da,388-16/68464/FUL-da-pr,,2020-10-09,local-authority-eng:SLF,2019-07-11,,/developer-agreement-contribution/local-authority-eng/SLF/388-16-68464-FUL-da-pr
