amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
709446,education,da-2012-0084,dac-2012-0084-01,,2020-11-25,2013-02-20,,
1.125E+6,affordable-housing,da-2012-0084,dac-2012-0084-02,,2020-11-25,2013-02-20,,
,other,da-2012-0084,dac-2012-0084-03,,2020-11-25,2013-02-20,,
,open-space-and-leisure,da-2012-0084,dac-2012-0084-04,,2020-11-25,2013-02-20,,
1E+2,monitoring-fees,da-2012-0084,dac-2012-0084-05,,2020-11-25,2013-02-20,,
25984,other,da-2012-0084,dac-2012-0084-06,,2020-11-25,2013-03-20,,
,flood-and-water-management,da-2012-0084,dac-2012-0084-07,,2020-11-25,2013-02-20,,
1E+2,monitoring-fees,da-2012-0965,dac-2012-0965-01,,2020-11-11,,,
49772.74,open-space-and-leisure,da-2012-0965,dac-2012-0965-02,,2020-11-11,,,
,affordable-housing,da-2012-0965,dac-2012-0965-03,,2020-11-11,,,
1E+2,monitoring-fees,da-2012-1157,dac-2012-1157-01,,2020-11-11,,,
55077.22,open-space-and-leisure,da-2012-1157,dac-2012-1157-02,,2020-11-11,,,
43520.4,open-space-and-leisure,da-2012-1157,dac-2012-1157-03,,2020-11-11,,99,
383031.66,education,da-2012-1157,dac-2012-1157-04,,2020-11-11,,,
,affordable-housing,da-2012-1157,dac-2012-1157-05,,2020-11-11,,7,
,flood-and-water-management,da-2012-1157,dac-2014-1157-06,,2020-11-11,,,
,affordable-housing,da-2014-0553,dac-2014-0553-01,,2020-11-11,,7,
1.15E+5,education,da-2014-0553,dac-2014-0553-02,,2020-11-11,,,
5.5E+4,open-space-and-leisure,da-2014-0553,dac-2014-0553-03,,2020-11-11,,,
3E+4,highways,da-2014-0553,dac-2014-0553-04,,2020-11-11,,,
1775.8,open-space-and-leisure,da-2014-0678,dac-2014-0678-01,,2020-11-11,,,
1E+2,monitoring-fees,da-2014-0678,dac-2014-0678-02,,2020-11-11,,,
,affordable-housing,da-2014-0678,dac-2014-0678-03,,2020-11-11,,,
,flood-and-water-management,da-2014-0678,dac-2014-0678-04,,2020-11-11,,,
134497.92,education,da-2017-1363,dac-2017-1363-01,,2020-11-01,2020-01-13,,
19242,affordable-housing,da-2017-1363,dac-2017-1363-02,,2020-11-01,2020-01-13,17,
2.784E+4,health,da-2017-1363,dac-2017-1363-03,,2020-11-01,2020-01-13,,
