amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
,open-space-and-leisure,da-2017-1363,dac-2017-1363-04,,2020-11-01,2020-01-13,,
1E+2,monitoring-fees,da-2017-1363,dac-2017-1363-05,,2020-11-01,2020-01-13,,
,flood-and-water-management,da-2017-1363,dac-2017-1363-06,,2020-11-01,2020-01-13,,
39068,open-space-and-leisure,da-2018-0178,dac-2018-0178-01,,2020-11-01,2020-02-07,,
115752.45,education,da-2018-0178,dac-2018-0178-02,,2020-11-01,2020-02-07,,
34647,affordable-housing,da-2018-0178,dac-2018-0178-03,,2020-11-01,2020-02-07,6,
1E+2,monitoring-fees,da-2018-0178,dac-2018-0178-04,,2020-11-01,2020-02-07,,
76488,open-space-and-leisure,da-2018-0338,dac-2018-0338-01,,2020-11-01,2019-04-10,,
1295011.2,education,da-2018-0338,dac-2018-0338-02,,2020-11-01,2019-04-10,,
1.3E+4,transport-and-travel,da-2018-0338,dac-2018-0338-03,,2020-11-01,2019-04-10,,
,affordable-housing,da-2018-0338,dac-2018-0338-04,,2020-11-01,2019-04-10,,
,flood-and-water-management,da-2018-0338,dac-2018-0338-05,,2020-11-01,2019-04-10,,
5E+3,monitoring-fees,da-2018-0338,dac-2018-0338-06,,2020-11-01,2019-04-10,,
1E+2,monitoring-fees,da-2018-0338,dac-2018-0338-07,,2020-11-01,2019-04-10,,
35516,open-space-and-leisure,da-2018-0661,dac-2018-0661-01,,2020-11-01,2019-03-29,,
99628.51,education,da-2018-0661,dac-2018-0661-02,,2020-11-01,2019-03-29,,
,affordable-housing,da-2018-0661,dac-2018-0661-03,,2020-11-01,2019-03-29,7,
18236.4,open-space-and-leisure,da-2018-0978,dac-2018-0978-01,,2020-11-01,2020-02-07,,
80938.3,education,da-2018-0978,dac-2018-0978-02,,2020-11-01,2020-02-07,,
,affordable-housing,da-2018-0978,dac-2018-0978-03,,2020-11-01,2020-02-07,,
,flood-and-water-management,da-2018-0978,dac-2018-0978-04,,2020-11-01,2020-02-07,,
5E+2,monitoring-fees,da-2018-0978,dac-2018-0978-05,,2020-11-01,2020-02-07,,
39521.46,open-space-and-leisure,da-2018-1006,dac-2018-1006-01,,2020-11-01,2020-01-31,,
288178.77,education,da-2018-1006,dac-2018-1006-02,,2020-11-01,2020-01-31,,
,affordable-housing,da-2018-1006,dac-2018-1006-03,,2020-11-01,2020-01-31,10,
3E+2,monitoring-fees,da-2018-1006,dac-2018-1006-04,,2020-11-01,2020-01-31,,
33740.2,open-space-and-leisure,da-2019-0120,dac-2019-0120-01,,2020-11-01,2020-01-23,,
19242,affordable-housing,da-2019-0120,dac-2019-0120-02,,2020-11-01,2020-01-23,5,
3E+2,monitoring-fees,da-2019-0120,dac-2019-0120-03,,2020-11-01,2020-01-23,,
26637,open-space-and-leisure,da-2019-0424,dac-2019-0424-01,,2020-11-01,2020-03-24,,
78139.81,education,da-2019-0424,dac-2019-0424-02,,2020-11-01,2020-03-24,,
5782.08,health,da-2019-0424,dac-2019-0424-03,,2020-11-01,2020-03-24,,
,affordable-housing,da-2019-0424,dac-2019-0424-04,,2020-11-01,2020-03-24,5,
5E+2,monitoring-fees,da-2019-0424,dac-2019-0424-05,,2020-11-01,2020-03-24,,
17758,open-space-and-leisure,da-2019-0744,dac-2019-0744-01,,2020-11-01,2019-12-19,,
1E+2,monitoring-fees,da-2019-0744,dac-2019-0744-02,,2020-11-01,2019-12-19,,
