amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
30077.38,community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_59,,2020-04-06,local-authority-eng:CHT,2019-06-11,,/developer-agreement-contribution/local-authority-eng/CHT/18-01796-FUL-CIL-59
5639.51,neighbourhood-community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_59A,,2020-04-06,local-authority-eng:CHT,2019-06-11,,/developer-agreement-contribution/local-authority-eng/CHT/18-01796-FUL-CIL-59A
1879.84,community-infrastructure-levy,18/01796/FUL_CIL,18/01796/FUL_CIL_61,,2020-04-06,local-authority-eng:CHT,2019-06-11,,/developer-agreement-contribution/local-authority-eng/CHT/18-01796-FUL-CIL-61
10892.8,community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_59,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-contribution/local-authority-eng/CHT/19-00077-FUL-CIL-59
2042.4,neighbourhood-community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_59A,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-contribution/local-authority-eng/CHT/19-00077-FUL-CIL-59A
680.8,community-infrastructure-levy,19/00077/FUL_CIL,19/00077/FUL_CIL_61,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-contribution/local-authority-eng/CHT/19-00077-FUL-CIL-61
2654.53,community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_59,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-contribution/local-authority-eng/CHT/18-02604-FUL-CIL-59
497.72,neighbourhood-community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_59A,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-contribution/local-authority-eng/CHT/18-02604-FUL-CIL-59A
165.91,community-infrastructure-levy,18/02604/FUL_CIL,18/02604/FUL_CIL_61,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-contribution/local-authority-eng/CHT/18-02604-FUL-CIL-61
7364.48,community-infrastructure-levy,18/02555/FUL_CIL,18/02555/FUL_CIL_59,,2020-04-06,local-authority-eng:CHT,2019-08-06,,/developer-agreement-contribution/local-authority-eng/CHT/18-02555-FUL-CIL-59
1380.84,neighbourhood-community-infrastructure-levy,18/02555/FUL_CIL,18/02555/FUL_CIL_59A,,2020-04-06,local-authority-eng:CHT,2019-08-06,,/developer-agreement-contribution/local-authority-eng/CHT/18-02555-FUL-CIL-59A
