amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
1.092E+4,highways,01/15/0886AP,01/15/0886AP1,,2020-12-11,local-authority-eng:CMA,2020-02-10,,/developer-agreement-contribution/local-authority-eng/CMA/01-15-0886AP1
143701.04,education,01/15/0886AP,01/15/0886AP2,,2020-12-11,local-authority-eng:CMA,2019-11-21,,/developer-agreement-contribution/local-authority-eng/CMA/01-15-0886AP2
35486.39,education,01/15/0886AP,01/15/0886AP3,,2020-12-11,local-authority-eng:CMA,2019-11-21,,/developer-agreement-contribution/local-authority-eng/CMA/01-15-0886AP3
89635.18,education,01/15/0918AP,01/15/0918AP1,,2020-12-11,local-authority-eng:CMA,2019-05-07,,/developer-agreement-contribution/local-authority-eng/CMA/01-15-0918AP1
24318.82,education,01/16/0868AP,01/16/0868AP1,,2020-12-11,local-authority-eng:CMA,2019-06-07,,/developer-agreement-contribution/local-authority-eng/CMA/01-16-0868AP1
6639.6,transport-and-travel,01/17/0669AP,01/17/0669AP1,,2020-12-11,local-authority-eng:CMA,2019-12-03,,/developer-agreement-contribution/local-authority-eng/CMA/01-17-0669AP1
5.533E+4,highways,01/17/0669AP,01/17/0669AP2,,2020-12-11,local-authority-eng:CMA,2019-12-03,,/developer-agreement-contribution/local-authority-eng/CMA/01-17-0669AP2
1.509E+4,highways,01/17/0669AP,01/17/0669AP3,,2020-12-11,local-authority-eng:CMA,2019-12-03,,/developer-agreement-contribution/local-authority-eng/CMA/01-17-0669AP3
3650.5,highways,01/17/0969AP,01/17/0969AP1,,2020-12-11,local-authority-eng:CMA,2019-10-14,,/developer-agreement-contribution/local-authority-eng/CMA/01-17-0969AP1
3.5E+4,highways,01/18/0693AP,01/18/0693AP1,,2020-12-11,local-authority-eng:CMA,2019-08-23,,/developer-agreement-contribution/local-authority-eng/CMA/01-18-0693AP1
6.6E+3,transport-and-travel,01/18/0693AP,01/18/0693AP2,,2020-12-11,local-authority-eng:CMA,2019-08-23,,/developer-agreement-contribution/local-authority-eng/CMA/01-18-0693AP2
1.15E+5,highways,01/18/0790AP,01/18/0790AP1,,2020-12-11,local-authority-eng:CMA,2019-07-30,,/developer-agreement-contribution/local-authority-eng/CMA/01-18-0790AP1
3384,transport-and-travel,02/12/0311AP,02/12/0311AP5,,2020-12-11,local-authority-eng:CMA,2019-08-29,,/developer-agreement-contribution/local-authority-eng/CMA/02-12-0311AP5
77876.25,education,02/16/0070AP,02/16/0070AP1,,2020-12-11,local-authority-eng:CMA,2019-09-20,,/developer-agreement-contribution/local-authority-eng/CMA/02-16-0070AP1
124125.3,education,02/16/0657AP,02/16/0657AP1,,2020-12-11,local-authority-eng:CMA,2019-10-11,,/developer-agreement-contribution/local-authority-eng/CMA/02-16-0657AP1
77656.64,education,02/17/0039AP,02/17/0039AP3,,2020-12-11,local-authority-eng:CMA,2019-06-26,,/developer-agreement-contribution/local-authority-eng/CMA/02-17-0039AP3
6.6E+3,transport-and-travel,02/17/0587AP,02/17/0587AP1,,2020-12-11,local-authority-eng:CMA,2020-03-13,,/developer-agreement-contribution/local-authority-eng/CMA/02-17-0587AP1
5.5E+3,highways,02/18/0372AP,02/18/0372AP1,,2020-12-11,local-authority-eng:CMA,2019-08-14,,/developer-agreement-contribution/local-authority-eng/CMA/02-18-0372AP1
6.6E+3,transport-and-travel,03/08/0291AP,03/08/0291AP1,,2020-12-11,local-authority-eng:CMA,2019-04-24,,/developer-agreement-contribution/local-authority-eng/CMA/03-08-0291AP1
46222,highways,03/08/0291AP,03/08/0291AP4,,2020-12-11,local-authority-eng:CMA,2019-04-24,,/developer-agreement-contribution/local-authority-eng/CMA/03-08-0291AP4
1979302.9,education,03/08/0291AP,03/08/0291AP5,,2020-12-11,local-authority-eng:CMA,2019-04-24,,/developer-agreement-contribution/local-authority-eng/CMA/03-08-0291AP5
247864.95,education,03/13/0654AP,03/13/0654AP1,,2020-12-11,local-authority-eng:CMA,2019-04-24,,/developer-agreement-contribution/local-authority-eng/CMA/03-13-0654AP1
223487.22,education,03/15/0799AP,03/15/0799AP1,,2020-12-11,local-authority-eng:CMA,2019-07-26,,/developer-agreement-contribution/local-authority-eng/CMA/03-15-0799AP1
214096.5,education,03/15/0799AP,03/15/0799AP2,,2020-12-11,local-authority-eng:CMA,2020-03-06,,/developer-agreement-contribution/local-authority-eng/CMA/03-15-0799AP2
146591.82,highways,03/15/0799AP,03/15/0799AP3,,2020-12-11,local-authority-eng:CMA,2019-07-26,,/developer-agreement-contribution/local-authority-eng/CMA/03-15-0799AP3
164941.8,highways,03/15/0799AP,03/15/0799AP4,,2020-12-11,local-authority-eng:CMA,2020-03-06,,/developer-agreement-contribution/local-authority-eng/CMA/03-15-0799AP4
