amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
3.6E+4,green-infrastructure,DC/19/00279/OUT-da,S106/19/00279ECO,,2020-10-21,local-authority-eng:GAT,2020-02-20,,/developer-agreement-contribution/local-authority-eng/GAT/S106-19-00279ECO
,affordable-housing,DC/18/03349/FUL-da,S106/18/03349AFF,,2020-10-21,local-authority-eng:GAT,2019-04-25,3,/developer-agreement-contribution/local-authority-eng/GAT/S106-18-03349AFF
31021,affordable-housing,DC/18/00863/FUL-da,S106/18/00863AFF,,2020-10-21,local-authority-eng:GAT,2019-10-10,,/developer-agreement-contribution/local-authority-eng/GAT/S106-18-00863AFF
7375.3,community-infrastructure-levy,DC/18/00704/FUL-da,CIL18/00704ADMIN,,2020-10-21,local-authority-eng:GAT,2019-01-10,,/developer-agreement-contribution/local-authority-eng/GAT/CIL18-00704ADMIN
140130.78,neighbourhood-community-infrastructure-levy,DC/18/00704/FUL-da,CIL18/00704NEIGH,,2020-10-21,local-authority-eng:GAT,2019-01-10,,/developer-agreement-contribution/local-authority-eng/GAT/CIL18-00704NEIGH
