amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
1228.98,community-infrastructure-levy,LA2016/119A,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
1503.81,community-infrastructure-levy,LA2016/119A,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
1503.81,community-infrastructure-levy,LA2016/119A,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
3866.94,neighbourhood-community-infrastructure-levy,LA2016/119B,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
4511.43,neighbourhood-community-infrastructure-levy,LA2016/119B,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
4511.43,neighbourhood-community-infrastructure-levy,LA2016/119B,14/10444/CIL,,2020-04-15,local-authority-eng:WIL,2020-03-10,,/developer-agreement-contribution/local-authority-eng/WIL/14-10444-CIL
478.13,community-infrastructure-levy,LA2015/322A,15/05086/CIL,,2020-04-15,local-authority-eng:WIL,2019-04-03,,/developer-agreement-contribution/local-authority-eng/WIL/15-05086-CIL
1434.38,neighbourhood-community-infrastructure-levy,LA2015/322B,15/05086/CIL,,2020-04-15,local-authority-eng:WIL,2019-04-03,,/developer-agreement-contribution/local-authority-eng/WIL/15-05086-CIL
595,community-infrastructure-levy,LA2015/420A,15/05550/CIL,,2020-04-15,local-authority-eng:WIL,2019-06-06,,/developer-agreement-contribution/local-authority-eng/WIL/15-05550-CIL
2975,neighbourhood-community-infrastructure-levy,LA2015/420B,15/05550/CIL,,2020-04-15,local-authority-eng:WIL,2019-06-06,,/developer-agreement-contribution/local-authority-eng/WIL/15-05550-CIL
3004.75,community-infrastructure-levy,LA2015/400A,15/07201/CIL,,2020-04-15,local-authority-eng:WIL,2019-05-21,,/developer-agreement-contribution/local-authority-eng/WIL/15-07201-CIL
9014.25,neighbourhood-community-infrastructure-levy,LA2015/400B,15/07201/CIL,,2020-04-15,local-authority-eng:WIL,2019-05-21,,/developer-agreement-contribution/local-authority-eng/WIL/15-07201-CIL
149.71,community-infrastructure-levy,LA2016/182A,15/07289/CIL,,2020-04-15,local-authority-eng:WIL,2019-07-29,,/developer-agreement-contribution/local-authority-eng/WIL/15-07289-CIL
449.14,neighbourhood-community-infrastructure-levy,LA2016/182B,15/07289/CIL,,2020-04-15,local-authority-eng:WIL,2019-07-29,,/developer-agreement-contribution/local-authority-eng/WIL/15-07289-CIL
1525.28,community-infrastructure-levy,LA2019/229A,15/08696/CIL,,2020-04-15,local-authority-eng:WIL,2019-08-19,,/developer-agreement-contribution/local-authority-eng/WIL/15-08696-CIL
4575.85,neighbourhood-community-infrastructure-levy,LA2019/229B,15/08696/CIL,,2020-04-15,local-authority-eng:WIL,2019-08-19,,/developer-agreement-contribution/local-authority-eng/WIL/15-08696-CIL
