resource,amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2E+4,transport-and-travel,WB/03/00039/FULL-s106,WB/03/00039/FULL-PublicTransport,,2020-10-27,2003-11-25,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,14365,transport-and-travel,WB/06/0728/FULL-s106,WB/06/0728/FULL-TAD,,2020-10-27,2006-10-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,4713,transport-and-travel,WB/07/0780/FULL-s106,WB/07/0780/FULL-Transport,,2020-10-27,2007-06-26,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2438,transport-and-travel,WB/07/1009/FULL-s106,WB/07/1009/FULL-Transport,,2020-10-27,2007-08-10,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.88E+3,transport-and-travel,WB/08/0097/FULL-s106,WB/08/0097/FULL-Transport,,2020-10-27,2008-02-05,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.4E+3,transport-and-travel,WB/07/1451/FULL-s106,WB/07/1451/FULL-Transport,,2020-10-27,2008-02-11,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,14333,transport-and-travel,WB/07/0916/FULL-s106,WB/07/0916/FULL-Transport,,2020-10-27,2008-03-11,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,27372,transport-and-travel,WB/08/0497/FULL-s106,WB/08/0497/FULL-Transport,,2020-10-27,2008-09-10,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,150548,open-space-and-leisure,WB/06/1121/FULL-s106,WB/06/1121/FULL-OpenSpace,,2020-10-27,2009-02-05,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,24566,open-space-and-leisure,WB/09/0732/FULL-s106,WB/09/0732/FULL-RecSpace,,2020-10-27,2009-11-27,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.504E+4,transport-and-travel,WB/09/0732/FULL-s106,WB/09/0732/FULL-Transport,,2020-10-27,2009-11-27,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,3.2E+4,transport-and-travel,WB/07/1120/FULL-s106,WB/07/1120/FULL-TAD,,2020-10-27,2009-12-18,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,4.329E+4,transport-and-travel,WB/10/0281/FULL-s106,WB/10/0281/FULL-TAD,,2020-10-27,2011-03-23,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,15545,flood-and-water-management,WB/10/0895/FULL-s106,WB/10/0895/FULL-FloodDef,,2020-10-27,2011-05-04,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,250813,open-space-and-leisure,WB/11/0275/OUT-s106,WB/11/0275/OUT-SwimPool,,2020-10-27,2012-04-27,,
