endpoint,endpoint-url,parameters,plugin,entry-date,start-date,end-date
ceab451289dbca5d078da2e7aafeef58392d5dc410d718e086859fa41a6d8810,"https://www.adur-worthing.gov.uk/media/Media,158842,smxx.csv",,,2020-12-21,,
04cf69f42d47bce5a9756d6df0ff91a2a692f6eb54fb4da42c46df6ae6574b91,https://www.ambervalley.gov.uk/images/documents/planningobligations/developer_agreement_contributions.csv,,,2021-01-11,,
33f348d97537b507f6b606c8de2adb8fc5a93f2864aa272ba687df723b09b532,www.ashford.gov.uk/developer-agreement-contributions,,,2020-12-22,,
605168f4c230cf457c55a953540aab1e4537bbcd1b97094f811ce345a5479807,https://www.bolton.gov.uk/downloads/file/3206/developer-agreement-contribution-20201221,,,2020-12-23,,
cbbd6e49bad34c453957aa803a235eb657a79397b0845aa7b383ea4ac2fbf092,https://www.mybostonuk.com/wp-content/uploads/2020/12/developer-agreement-contribution_20201217.csv,,,2020-12-22,,
9ef56ec1d69b833696cf01772f596dae6ffde5e510c0980988b2b7180a4a4735,https://www.braintree.gov.uk/downloads/file/2962/developer-agreement-transactions,,,2021-01-04,,
9afe15840237f1b985ff722088913e650834d2827f6b0119422f0242da53be5f,https://www.broxbourne.gov.uk/downloads/file/1304/developer-contributions,,,2020-12-22,,
6c56f27c240da02d6bf0449bbd4c8f71163fe60be0ebacefbd2e5480a899aa48,https://www.charnwood.gov.uk/files/documents/developer_contributions_completed_2019_20_2/Developer%20agreement%20Contribution%20CSV2.xlsx,,,2020-12-23,,
871a30878a9f39e64c8f27a2d6eb63b1445122df929388235dc6ad773fc87778,https://www.cheltenham.gov.uk/download/downloads/id/8303/developer_agreement_contribution_csv.csv,,,2021-01-04,,
67f61203894882a61ed0df22dc6bb5867051d82111b3cd2f907d7f702cbdf0fe,https://www.cumbria.gov.uk/elibrary/Content/Internet/535/18042/44195114822.csv,,,2021-01-04,,
819b2ef6fabea4142cbd05d7e5449a404ca6a5a8258cec711a4a8354f6a51a0a,https://cbccrmdata.blob.core.windows.net/noteattachment/CBC-Fees-and-charges-Developer-agreement-contributions-Developer%20Agreement%20Contributions_20201202.csv,,,2020-12-16,,
0c7824da797b9562120d05fcca7eaa9135d82813e1494d0d51f51e5680b6ba9d,https://www.copeland.gov.uk/attachments/developer-agreement-contribution,,,2020-12-18,,
fa1741152bf57edffcec7fe60c60be95450df6d95cfc71696609617e2015a18b,https://cdn-eastherts.onwebcurl.com/s3fs-public/2020-12/East%20Herts%20Council%20-%20CVS%20File%202%20-%20developer-agreement-contribution_20200921_.xlsx,,,2020-12-16,,
e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e,https://epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/community-infrastructure-levy-cil/Developer%20agreement%20contributions.csv,,,2021-01-11,,
e771020a1b6988d816e809cee11bc8a8bc46a31d7c74640340f67d64d4dc7d40,https://www.erewash.gov.uk/images/Planning_Policy/developer-contribution_20201217.csv,,,2020-12-22,,
dada07835331757552efca96881859b4c5159c89fe44837b6185da761d80e54f,https://eryc.link/developercontributions,,,2021-01-04,,
5a43596efd483ce830f6e8fc9b40645f7e3829b8c829ea5d4d4bf96a4bb73088,http://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/planningpolicy/developer-agreement-contribution.csv,,,2020-12-22,,
