resource,bytes,organisations,endpoints,start-date,end-date
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,6437,local-authority-eng:WOT,acc64c0dfd7cb892710745cc128c5a52c05c5219274baf6fc04c615caa343203,2021-02-12,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,5538,local-authority-eng:SLF,ea306a1820af9ac94bbf75ae6de68a40a8446d1c1988a8ff2f4956dda6080196,2021-02-12,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,13767,local-authority-eng:EPS,e08f600e90eb62a72fe50b79d49681b2d64a966df97fc77dc6c20a8a8a09f43e,2021-02-12,
0e3eb04edb0e4d864de1a8979dd9b703a43af5631159e1c3ad4a243e034ab8e8,21220,local-authority-eng:NLN,8e78089325ae9aa83ac898bdac70b13f48c3867b3d310af4a9016b29c70c8c35,2021-02-12,
1185abfc82b22f7964c9db5c45eb0bdc59f880cbf06fe76699ff4f44d413c37e,5416,local-authority-eng:CHT,871a30878a9f39e64c8f27a2d6eb63b1445122df929388235dc6ad773fc87778,2021-02-12,
1a7662f136386bd8b30a7a31e11111559b0cb89a69c0fe5679d5948fb8e9c3c8,13974,local-authority-eng:HRT,96b7450b1f36e003fe640407e12ff8818015401412c3ec0bddcdba7afb369896,2021-02-12,
3eeb367706ed642d8ee96b78eb41b199625e81ba5fbd4df96ffe5c9928964d4b,2464,local-authority-eng:CMA,67f61203894882a61ed0df22dc6bb5867051d82111b3cd2f907d7f702cbdf0fe,2021-02-12,
4040b7684b6073a8f5d209f62b20af04fba7e19f6e35002debd1bf148c25a87e,41424,local-authority-eng:WIL,914e84dd87312abf478d67da171e8dc5c8e6946ce7ad0d32737dab75f5530698,2021-02-12,
4579e644c2aae3f294119f87085abdf28d64749d8c56c08fc824497ade34f74d,6334,local-authority-eng:NFK,ea080017f5b7e966e610a093053208abc19117506eca678fd3532938502e519d,2021-02-12,
5511d62e32ffa237fb161d4b3cfce14e78a2bd8dddb3349f03b3399683dda1da,963,local-authority-eng:EST,5a43596efd483ce830f6e8fc9b40645f7e3829b8c829ea5d4d4bf96a4bb73088,2021-02-12,
