row-number,field,issue-type,value
1,amount,decimal,£1373992.00
2,amount,decimal,£14250.00
4,amount,decimal,£232880.00
5,amount,decimal,£4200.00
7,amount,decimal,£172000.00
9,amount,decimal,£2000.00
10,amount,decimal,£500000.00
11,amount,decimal,£252396.00
12,amount,decimal,£46250.00
13,amount,decimal,£13875.00
15,amount,decimal,£25000000.00
15,units,integer,2.8ha land
17,amount,decimal,£976000.00
18,amount,decimal,£60000.00
20,amount,decimal,£1575.00
21,amount,decimal,£224352.00
22,amount,decimal,£12000.00
23,amount,decimal,£42066.00
25,amount,decimal,£2100.00
26,amount,decimal,£570556.00
27,amount,decimal,£500000.00
28,amount,decimal,£10350.00
29,amount,decimal,£645350.00
32,amount,decimal,£13500.00
34,amount,decimal,£200422.00
35,amount,decimal,£2475.00
36,amount,decimal,£141840.00
37,units,integer,Signage
38,amount,decimal,£2700.00
39,amount,decimal,£1000.00
40,amount,decimal,£45000.00
42,amount,decimal,£200000.00
43,units,integer,1708.81 m2
44,amount,decimal,£30000.00
45,amount,decimal,£31500.00
46,amount,decimal,£5000.00
